Date,Market Cap
20/06/2016,11976700000
19/06/2016,11859800000
18/06/2016,11732600000
17/06/2016,12038900000
16/06/2016,10908900000
15/06/2016,10736600000
14/06/2016,11028900000
13/06/2016,10511900000
12/06/2016,9539850000
11/06/2016,9052360000
10/06/2016,9005920000
09/06/2016,9103080000
08/06/2016,9022250000
07/06/2016,9149580000
06/06/2016,8977700000
05/06/2016,8955060000
04/06/2016,8897080000
03/06/2016,8395070000
02/06/2016,8375000000
01/06/2016,8288680000
31/05/2016,8335100000
30/05/2016,8243960000
29/05/2016,8226500000
28/05/2016,7375780000
27/05/2016,7070010000
26/05/2016,7008500000
25/05/2016,6950690000
24/05/2016,6921460000
23/05/2016,6842470000
22/05/2016,6900700000
21/05/2016,6895230000
20/05/2016,6813080000
19/05/2016,7072090000
18/05/2016,7057390000
17/05/2016,7060730000
16/05/2016,7114740000
15/05/2016,7084760000
14/05/2016,7084100000
13/05/2016,7067270000
12/05/2016,7028330000
11/05/2016,7002230000
10/05/2016,7150370000
09/05/2016,7112510000
08/05/2016,7114060000
07/05/2016,7131120000
06/05/2016,6947800000
05/05/2016,6926990000
04/05/2016,6978950000
03/05/2016,6892690000
02/05/2016,7002610000
01/05/2016,6947430000
30/04/2016,7049460000
29/04/2016,6958330000
28/04/2016,6889170000
27/04/2016,7216190000
26/04/2016,7143060000
25/04/2016,7102490000
24/04/2016,6968570000
23/04/2016,6894280000
22/04/2016,6951860000
21/04/2016,6822320000
20/04/2016,6726370000
19/04/2016,6622450000
18/04/2016,6604150000
17/04/2016,6649170000
16/04/2016,6631310000
15/04/2016,6550350000
14/04/2016,6541030000
13/04/2016,6565470000
12/04/2016,6520870000
11/04/2016,6504290000
10/04/2016,6467330000
09/04/2016,6484410000
08/04/2016,6515190000
07/04/2016,6524680000
06/04/2016,6533260000
05/04/2016,6481350000
04/04/2016,6483910000
03/04/2016,6480470000
02/04/2016,6436700000
01/04/2016,6409540000
31/03/2016,6385140000
30/03/2016,6407840000
29/03/2016,6521010000
28/03/2016,6553700000
27/03/2016,6423040000
26/03/2016,6409500000
25/03/2016,6394850000
24/03/2016,6422730000
23/03/2016,6417130000
22/03/2016,6338430000
21/03/2016,6341380000
20/03/2016,6293610000
19/03/2016,6274790000
18/03/2016,6446330000
17/03/2016,6404130000
16/03/2016,6387190000
15/03/2016,6377870000
14/03/2016,6342780000
13/03/2016,6302330000
12/03/2016,6453260000
11/03/2016,6384740000
10/03/2016,6344960000
09/03/2016,6330230000
08/03/2016,6337370000
07/03/2016,6233430000
06/03/2016,6121400000
05/03/2016,6276610000
04/03/2016,6443890000
03/03/2016,6474150000
02/03/2016,6643810000
01/03/2016,6684800000
29/02/2016,6614980000
28/02/2016,6600310000
27/02/2016,6602810000
26/02/2016,6476080000
25/02/2016,6480650000
24/02/2016,6417190000
23/02/2016,6679400000
22/02/2016,6689200000
21/02/2016,6669260000
20/02/2016,6421310000
19/02/2016,6436980000
18/02/2016,6341430000
17/02/2016,6204150000
16/02/2016,6108040000
15/02/2016,6199850000
14/02/2016,5975580000
13/02/2016,5847990000
12/02/2016,5771040000
11/02/2016,5806110000
10/02/2016,5713880000
09/02/2016,5670880000
08/02/2016,5720100000
07/02/2016,5714760000
06/02/2016,5865740000
05/02/2016,5898960000
04/02/2016,5613380000
03/02/2016,5679530000
02/02/2016,5651690000
01/02/2016,5596090000
31/01/2016,5729870000
30/01/2016,5736760000
29/01/2016,5753970000
28/01/2016,5980180000
27/01/2016,5937780000
26/01/2016,5929520000
25/01/2016,6083900000
24/01/2016,5867300000
23/01/2016,5779890000
22/01/2016,6190940000
21/01/2016,6338800000
20/01/2016,5734760000
